respondentid,age,preflevel
1,<25,3
2,<25,2
3,<25,4
4,<25,3
5,<25,2
6,<25,2
7,<25,1
8,<25,4
9,<25,3
10,<25,2
11,<25,3
12,<25,4
13,<25,5
14,<25,3
15,<25,2
16,<25,3
17,<25,4
18,<25,2
19,<25,2
20,<25,1
21,<25,2
22,<25,3
23,<25,4
24,<25,2
25,<25,2
26,<25,3
27,<25,3
28,<25,3
29,<25,3
30,<25,4
31,<25,1
32,<25,3
33,<25,4
34,<25,3
35,<25,3
36,<25,2
37,<25,1
38,25-40,3
39,25-40,3
40,25-40,4
41,25-40,4
42,25-40,4
43,25-40,4
44,25-40,5
45,25-40,5
46,25-40,4
47,25-40,4
48,25-40,3
49,25-40,4
50,25-40,3
51,25-40,4
52,25-40,3
53,25-40,5
54,25-40,5
55,25-40,4
56,25-40,4
57,25-40,3
58,25-40,3
59,25-40,3
60,25-40,4
61,25-40,4
62,25-40,4
63,25-40,5
64,25-40,5
65,25-40,4
66,25-40,4
67,25-40,4
68,25-40,4
69,25-40,4
70,25-40,4
71,25-40,4
72,25-40,3
73,25-40,3
74,25-40,4
75,40-55,2
76,40-55,3
77,40-55,2
78,40-55,3
79,40-55,2
80,40-55,2
81,40-55,3
82,40-55,3
83,40-55,3
84,40-55,1
85,40-55,2
86,40-55,3
87,40-55,2
88,40-55,3
89,40-55,2
90,40-55,2
91,40-55,2
92,40-55,3
93,40-55,3
94,40-55,3
95,40-55,2
96,40-55,4
97,40-55,4
98,40-55,3
99,40-55,5
100,40-55,2
101,40-55,2
102,40-55,3
103,40-55,3
104,40-55,5
105,40-55,2
106,40-55,3
107,40-55,2
